openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 30041
exact = 1.269353633414169e+00
n = 334, r = 0.36061, dH = 1.01996, is_accept = 0
n = 335, r = 0.443682, dH = 0.812646, is_accept = 1
n = 336, r = 1, dH = -0.0721781, is_accept = 1
n = 337, r = 1, dH = -0.290438, is_accept = 1
n = 338, r = 1, dH = -0.190888, is_accept = 1
n = 339, r = 1, dH = -0.166711, is_accept = 1
n = 340, r = 0.834392, dH = 0.181052, is_accept = 1
n = 341, r = 1, dH = -0.0835515, is_accept = 1
n = 342, r = 1, dH = -0.0150571, is_accept = 1
n = 343, r = 1, dH = -0.125121, is_accept = 1
n = 344, r = 0.649527, dH = 0.43151, is_accept = 1
n = 345, r = 1, dH = -0.555114, is_accept = 1
n = 346, r = 1, dH = -0.546543, is_accept = 1
n = 347, r = 0.911671, dH = 0.0924764, is_accept = 1
n = 348, r = 0.664452, dH = 0.408793, is_accept = 0
n = 349, r = 0.378321, dH = 0.972013, is_accept = 0
n = 350, r = 0.941956, dH = 0.0597965, is_accept = 1
n = 351, r = 0.837741, dH = 0.177046, is_accept = 1
n = 352, r = 0.353769, dH = 1.03911, is_accept = 0
n = 353, r = 0.798801, dH = 0.224643, is_accept = 0
n = 354, r = 0.847008, dH = 0.166046, is_accept = 0
n = 355, r = 0.425186, dH = 0.855228, is_accept = 1
n = 356, r = 0.967051, dH = 0.0335038, is_accept = 1
n = 357, r = 0.931851, dH = 0.0705826, is_accept = 1
n = 358, r = 1, dH = -0.246617, is_accept = 1
n = 359, r = 1, dH = -0.379611, is_accept = 1
n = 360, r = 1, dH = -0.0112277, is_accept = 1
n = 361, r = 0.351212, dH = 1.04637, is_accept = 1
n = 362, r = 1, dH = -0.583836, is_accept = 1
n = 363, r = 0.970792, dH = 0.0296429, is_accept = 1
n = 364, r = 1, dH = -0.0775229, is_accept = 1
n = 365, r = 1, dH = -0.209911, is_accept = 1
n = 366, r = 1, dH = -0.118066, is_accept = 1
n = 367, r = 0.95345, dH = 0.0476686, is_accept = 1
n = 368, r = 1, dH = -0.135623, is_accept = 1
n = 369, r = 0.424896, dH = 0.855912, is_accept = 0
n = 370, r = 0.469715, dH = 0.755629, is_accept = 0
n = 371, r = 0.414518, dH = 0.880638, is_accept = 1
n = 372, r = 1, dH = -0.00143943, is_accept = 1
n = 373, r = 0.904304, dH = 0.10059, is_accept = 1
n = 374, r = 1, dH = -0.0873529, is_accept = 1
n = 375, r = 1, dH = -0.35673, is_accept = 1
n = 376, r = 0.928734, dH = 0.0739331, is_accept = 1
n = 377, r = 0.750273, dH = 0.287318, is_accept = 0
n = 378, r = 0.944356, dH = 0.0572522, is_accept = 1
n = 379, r = 1, dH = -0.680216, is_accept = 1
n = 380, r = 0.64728, dH = 0.434977, is_accept = 1
n = 381, r = 0.754303, dH = 0.281961, is_accept = 1
n = 382, r = 1, dH = -0.890714, is_accept = 1
n = 383, r = 1, dH = -0.558029, is_accept = 1
n = 384, r = 1, dH = -0.311576, is_accept = 1
n = 385, r = 0.45784, dH = 0.781235, is_accept = 0
n = 386, r = 0.527174, dH = 0.640225, is_accept = 1
n = 387, r = 0.84381, dH = 0.169828, is_accept = 0
n = 388, r = 0.816913, dH = 0.202223, is_accept = 0
n = 389, r = 0.623048, dH = 0.473131, is_accept = 1
n = 390, r = 0.932267, dH = 0.0701366, is_accept = 1
n = 391, r = 0.797069, dH = 0.226814, is_accept = 1
n = 392, r = 0.716573, dH = 0.333275, is_accept = 0
n = 393, r = 1, dH = -0.444259, is_accept = 1
n = 394, r = 0.932552, dH = 0.0698305, is_accept = 1
n = 395, r = 0.949313, dH = 0.0520168, is_accept = 1
n = 396, r = 0.510018, dH = 0.67331, is_accept = 1
n = 397, r = 1, dH = -0.648844, is_accept = 1
n = 398, r = 1, dH = -0.296379, is_accept = 1
n = 399, r = 1, dH = -0.356681, is_accept = 1
n = 400, r = 1, dH = -0.327481, is_accept = 1
n = 401, r = 0.58035, dH = 0.544124, is_accept = 1
n = 402, r = 1, dH = -0.300014, is_accept = 1
n = 403, r = 0.772874, dH = 0.257639, is_accept = 1
n = 404, r = 1, dH = -0.599185, is_accept = 1
n = 405, r = 0.860724, dH = 0.149982, is_accept = 0
n = 406, r = 1, dH = -0.934464, is_accept = 1
n = 407, r = 0.417002, dH = 0.874665, is_accept = 1
n = 408, r = 0.798185, dH = 0.225414, is_accept = 0
n = 409, r = 0.604436, dH = 0.503459, is_accept = 1
n = 410, r = 1, dH = -0.398639, is_accept = 1
n = 411, r = 1, dH = -0.42252, is_accept = 1
n = 412, r = 1, dH = -0.147105, is_accept = 1
n = 413, r = 0.727567, dH = 0.31805, is_accept = 1
n = 414, r = 1, dH = -0.487414, is_accept = 1
n = 415, r = 0.64867, dH = 0.432831, is_accept = 1
n = 416, r = 1, dH = -0.472031, is_accept = 1
n = 417, r = 0.586235, dH = 0.534035, is_accept = 1
n = 418, r = 0.552484, dH = 0.59333, is_accept = 0
n = 419, r = 0.497161, dH = 0.698842, is_accept = 1
n = 420, r = 0.670906, dH = 0.399126, is_accept = 0
n = 421, r = 1, dH = -0.369154, is_accept = 1
n = 422, r = 1, dH = -0.54371, is_accept = 1
n = 423, r = 0.751471, dH = 0.285723, is_accept = 1
n = 424, r = 0.865442, dH = 0.144514, is_accept = 1
n = 425, r = 1, dH = -0.356779, is_accept = 1
n = 426, r = 0.616684, dH = 0.483399, is_accept = 1
n = 427, r = 0.884875, dH = 0.122308, is_accept = 1
n = 428, r = 1, dH = -0.648603, is_accept = 1
n = 429, r = 1, dH = -0.709806, is_accept = 1
