openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 29046
exact = 7.987447601192592e-01
n = 366, r = 0.877335, dH = 0.130867, is_accept = 1
n = 367, r = 1, dH = -0.307068, is_accept = 1
n = 368, r = 0.670284, dH = 0.400053, is_accept = 1
n = 369, r = 1, dH = -0.581339, is_accept = 1
n = 370, r = 0.74335, dH = 0.296588, is_accept = 0
n = 371, r = 0.375896, dH = 0.978444, is_accept = 0
n = 372, r = 0.759496, dH = 0.275101, is_accept = 0
n = 373, r = 0.942007, dH = 0.0597426, is_accept = 1
n = 374, r = 0.907021, dH = 0.0975895, is_accept = 1
n = 375, r = 1, dH = -0.277685, is_accept = 1
n = 376, r = 0.5549, dH = 0.588967, is_accept = 0
n = 377, r = 1, dH = -0.306015, is_accept = 1
n = 378, r = 0.522277, dH = 0.649557, is_accept = 1
n = 379, r = 0.689519, dH = 0.371761, is_accept = 1
n = 380, r = 0.960308, dH = 0.0405015, is_accept = 1
n = 381, r = 1, dH = -0.400179, is_accept = 1
n = 382, r = 1, dH = -0.100074, is_accept = 1
n = 383, r = 0.956822, dH = 0.0441377, is_accept = 1
n = 384, r = 0.922698, dH = 0.0804528, is_accept = 1
n = 385, r = 1, dH = -0.05915, is_accept = 1
n = 386, r = 0.773289, dH = 0.257103, is_accept = 0
n = 387, r = 0.557597, dH = 0.584118, is_accept = 1
n = 388, r = 1, dH = -0.336024, is_accept = 1
n = 389, r = 0.890231, dH = 0.116274, is_accept = 1
n = 390, r = 0.891477, dH = 0.114875, is_accept = 1
n = 391, r = 0.809498, dH = 0.21134, is_accept = 1
n = 392, r = 0.626653, dH = 0.467363, is_accept = 1
n = 393, r = 1, dH = -0.177883, is_accept = 1
n = 394, r = 0.767477, dH = 0.264647, is_accept = 1
n = 395, r = 1, dH = -0.367201, is_accept = 1
n = 396, r = 1, dH = -0.484553, is_accept = 1
n = 397, r = 0.751319, dH = 0.285925, is_accept = 0
n = 398, r = 0.637308, dH = 0.450503, is_accept = 0
n = 399, r = 1, dH = -0.515884, is_accept = 1
n = 400, r = 0.502981, dH = 0.687203, is_accept = 1
n = 401, r = 1, dH = -0.627161, is_accept = 1
n = 402, r = 0.572908, dH = 0.557031, is_accept = 0
n = 403, r = 0.675298, dH = 0.392602, is_accept = 1
n = 404, r = 1, dH = -0.355294, is_accept = 1
n = 405, r = 0.679652, dH = 0.386175, is_accept = 0
n = 406, r = 0.400735, dH = 0.914455, is_accept = 0
n = 407, r = 0.850542, dH = 0.161881, is_accept = 1
n = 408, r = 0.527497, dH = 0.639612, is_accept = 1
n = 409, r = 1, dH = -0.577895, is_accept = 1
n = 410, r = 0.874975, dH = 0.13356, is_accept = 1
n = 411, r = 0.904875, dH = 0.0999589, is_accept = 1
n = 412, r = 0.724366, dH = 0.322459, is_accept = 1
n = 413, r = 1, dH = -0.635632, is_accept = 1
n = 414, r = 1, dH = -0.372658, is_accept = 1
n = 415, r = 0.767165, dH = 0.265053, is_accept = 1
n = 416, r = 1, dH = -0.349293, is_accept = 1
n = 417, r = 0.829099, dH = 0.187415, is_accept = 0
n = 418, r = 0.405163, dH = 0.903466, is_accept = 1
n = 419, r = 1, dH = -0.161691, is_accept = 1
n = 420, r = 1, dH = -0.407307, is_accept = 1
n = 421, r = 1, dH = -0.40429, is_accept = 1
n = 422, r = 0.864448, dH = 0.145664, is_accept = 1
n = 423, r = 0.391409, dH = 0.938001, is_accept = 1
n = 424, r = 1, dH = -0.446855, is_accept = 1
n = 425, r = 0.673133, dH = 0.395812, is_accept = 1
n = 426, r = 1, dH = -0.472806, is_accept = 1
n = 427, r = 1, dH = -0.577353, is_accept = 1
n = 428, r = 0.629928, dH = 0.46215, is_accept = 1
n = 429, r = 0.488675, dH = 0.716057, is_accept = 0
n = 430, r = 0.420496, dH = 0.866321, is_accept = 1
n = 431, r = 1, dH = -0.911507, is_accept = 1
n = 432, r = 1, dH = -0.552043, is_accept = 1
n = 433, r = 0.49382, dH = 0.705584, is_accept = 0
n = 434, r = 0.58727, dH = 0.532271, is_accept = 1
n = 435, r = 0.993857, dH = 0.00616169, is_accept = 1
n = 436, r = 0.801114, dH = 0.221752, is_accept = 1
n = 437, r = 0.591498, dH = 0.525097, is_accept = 1
n = 438, r = 1, dH = -0.288753, is_accept = 1
n = 439, r = 0.788581, dH = 0.23752, is_accept = 1
n = 440, r = 1, dH = -0.0609149, is_accept = 1
n = 441, r = 1, dH = -0.303486, is_accept = 1
n = 442, r = 1, dH = -0.267259, is_accept = 1
n = 443, r = 0.599488, dH = 0.51168, is_accept = 1
n = 444, r = 1, dH = -0.0509198, is_accept = 1
n = 445, r = 0.727056, dH = 0.318751, is_accept = 1
n = 446, r = 1, dH = -0.453731, is_accept = 1
n = 447, r = 0.854281, dH = 0.157495, is_accept = 0
n = 448, r = 0.779857, dH = 0.248645, is_accept = 1
n = 449, r = 1, dH = -0.0259304, is_accept = 1
n = 450, r = 1, dH = -0.045744, is_accept = 1
n = 451, r = 0.829191, dH = 0.187304, is_accept = 1
n = 452, r = 0.999204, dH = 0.000795954, is_accept = 1
n = 453, r = 0.561677, dH = 0.576829, is_accept = 1
n = 454, r = 0.941592, dH = 0.060183, is_accept = 1
n = 455, r = 0.414131, dH = 0.881574, is_accept = 0
n = 456, r = 1, dH = -0.538656, is_accept = 1
n = 457, r = 1, dH = -0.302203, is_accept = 1
n = 458, r = 1, dH = -0.142659, is_accept = 1
n = 459, r = 0.68213, dH = 0.382535, is_accept = 1
n = 460, r = 0.823547, dH = 0.194134, is_accept = 1
n = 461, r = 1, dH = -0.202606, is_accept = 1
n = 462, r = 0.99427, dH = 0.0057468, is_accept = 1
n = 463, r = 1, dH = -0.73947, is_accept = 1
n = 464, r = 0.553357, dH = 0.591752, is_accept = 1
n = 465, r = 1, dH = -0.00348417, is_accept = 1
n = 466, r = 1, dH = -0.414711, is_accept = 1
n = 467, r = 1, dH = -0.210753, is_accept = 1
n = 468, r = 0.523231, dH = 0.647733, is_accept = 0
n = 469, r = 0.557516, dH = 0.584264, is_accept = 0
n = 470, r = 0.486625, dH = 0.720261, is_accept = 0
n = 471, r = 0.82204, dH = 0.195966, is_accept = 1
n = 472, r = 0.882819, dH = 0.124635, is_accept = 1
n = 473, r = 1, dH = -0.626923, is_accept = 1
