openmp threads = 1
eigen threads = 1
seed = 8989
exact = 5.879092030739460e-01
n = 419, r = 0.00250193, dH = 5.99069, is_accept = 0
n = 420, r = 1, dH = -0.672451, is_accept = 1
n = 421, r = 0.900668, dH = 0.104619, is_accept = 1
n = 422, r = 0.738421, dH = 0.303242, is_accept = 1
n = 423, r = 1, dH = -0.0190952, is_accept = 1
n = 424, r = 1, dH = -0.137687, is_accept = 1
n = 425, r = 0.938771, dH = 0.0631834, is_accept = 1
n = 426, r = 0.941007, dH = 0.0608042, is_accept = 1
n = 427, r = 1, dH = -0.0667387, is_accept = 1
n = 428, r = 1, dH = -0.167229, is_accept = 1
n = 429, r = 1, dH = -0.0888238, is_accept = 1
n = 430, r = 0.716043, dH = 0.334014, is_accept = 1
n = 431, r = 1, dH = -0.227662, is_accept = 1
n = 432, r = 0.885175, dH = 0.121969, is_accept = 1
n = 433, r = 1, dH = -0.0541509, is_accept = 1
n = 434, r = 0.528279, dH = 0.638131, is_accept = 0
n = 435, r = 1, dH = -0.0407385, is_accept = 1
n = 436, r = 1, dH = -0.0512834, is_accept = 1
n = 437, r = 0.0530539, dH = 2.93645, is_accept = 0
n = 438, r = 1, dH = -0.0957246, is_accept = 1
n = 439, r = 0.273166, dH = 1.29768, is_accept = 0
n = 440, r = 1, dH = -0.0537214, is_accept = 1
n = 441, r = 0.947664, dH = 0.0537553, is_accept = 1
n = 442, r = 0.520117, dH = 0.653701, is_accept = 0
n = 443, r = 0.00704785, dH = 4.95503, is_accept = 0
n = 444, r = 1, dH = -0.0449815, is_accept = 1
n = 445, r = 1, dH = -0.121017, is_accept = 1
n = 446, r = 1, dH = -0.329394, is_accept = 1
n = 447, r = 0.787411, dH = 0.239005, is_accept = 1
n = 448, r = 0.570862, dH = 0.560608, is_accept = 0
n = 449, r = 0.825554, dH = 0.1917, is_accept = 1
n = 450, r = 0.661489, dH = 0.413262, is_accept = 0
n = 451, r = 0.797328, dH = 0.226489, is_accept = 0
n = 452, r = 1, dH = -0.0546281, is_accept = 1
n = 453, r = 1, dH = -0.151046, is_accept = 1
n = 454, r = 0.842745, dH = 0.171091, is_accept = 1
n = 455, r = 0.704218, dH = 0.350668, is_accept = 0
n = 456, r = 0.917712, dH = 0.0858721, is_accept = 1
n = 457, r = 0.659763, dH = 0.415875, is_accept = 1
n = 458, r = 0.783106, dH = 0.244487, is_accept = 1
n = 459, r = 1, dH = -0.469584, is_accept = 1
n = 460, r = 0.750038, dH = 0.287631, is_accept = 1
n = 461, r = 0.943528, dH = 0.058129, is_accept = 1
n = 462, r = 1, dH = -0.23807, is_accept = 1
n = 463, r = 1, dH = -0.225369, is_accept = 1
n = 464, r = 2.54053e-06, dH = 12.8831, is_accept = 0
n = 465, r = 1, dH = -0.11251, is_accept = 1
n = 466, r = 3.20591e-16, dH = 35.6764, is_accept = 0
n = 467, r = 0.380169, dH = 0.967139, is_accept = 1
n = 468, r = 1, dH = -0.914367, is_accept = 1
n = 469, r = 0.899138, dH = 0.106319, is_accept = 1
n = 470, r = 0.73541, dH = 0.307327, is_accept = 1
n = 471, r = 0.92886, dH = 0.0737969, is_accept = 1
n = 472, r = 0.961362, dH = 0.0394043, is_accept = 1
