openmp threads = 1
eigen threads = 1
seed = 2574
exact = 6.882880141375221e-01
n = 447, r = 1, dH = -0.000916849, is_accept = 1
n = 448, r = 4.08602e-07, dH = 14.7105, is_accept = 0
n = 449, r = 1, dH = -0.333979, is_accept = 1
n = 450, r = 0.796375, dH = 0.227686, is_accept = 1
n = 451, r = 0.848498, dH = 0.164287, is_accept = 1
n = 452, r = 1, dH = -1.44302, is_accept = 1
n = 453, r = 0.800781, dH = 0.222168, is_accept = 1
n = 454, r = 1, dH = -0.000966089, is_accept = 1
n = 455, r = 1, dH = -0.181419, is_accept = 1
n = 456, r = 1, dH = -0.353112, is_accept = 1
n = 457, r = 0.899398, dH = 0.106029, is_accept = 1
n = 458, r = 0.702641, dH = 0.352909, is_accept = 1
n = 459, r = 1, dH = -0.0904241, is_accept = 1
n = 460, r = 1, dH = -0.479774, is_accept = 1
n = 461, r = 1, dH = -0.315719, is_accept = 1
n = 462, r = 1, dH = -0.85818, is_accept = 1
n = 463, r = 0.992759, dH = 0.00726734, is_accept = 1
n = 464, r = 0.739518, dH = 0.301757, is_accept = 1
n = 465, r = 1, dH = -0.256889, is_accept = 1
n = 466, r = 0.907984, dH = 0.0965285, is_accept = 1
n = 467, r = 0.355676, dH = 1.03374, is_accept = 0
n = 468, r = 1, dH = -0.647536, is_accept = 1
n = 469, r = 0.379402, dH = 0.969159, is_accept = 1
n = 470, r = 0.937957, dH = 0.0640514, is_accept = 1
