openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 343, r = 0.744655, dH = 0.294834, is_accept = 1
n = 344, r = 0.977922, dH = 0.0223249, is_accept = 1
n = 345, r = 0.974194, dH = 0.0261445, is_accept = 1
n = 346, r = 0.996711, dH = 0.00329401, is_accept = 1
n = 347, r = 1.32909e-09, dH = 20.4388, is_accept = 0
n = 348, r = 4.74619e-05, dH = 9.95558, is_accept = 0
n = 349, r = 0.223833, dH = 1.49686, is_accept = 1
n = 350, r = 0.978342, dH = 0.0218964, is_accept = 1
n = 351, r = 0.918221, dH = 0.0853174, is_accept = 1
n = 352, r = 1, dH = -0.0611711, is_accept = 1
n = 353, r = 1.0158e-05, dH = 11.4972, is_accept = 0
n = 354, r = 0.486045, dH = 0.721453, is_accept = 1
n = 355, r = 1, dH = -0.190098, is_accept = 1
n = 356, r = 0.672498, dH = 0.396756, is_accept = 0
n = 357, r = 0.643437, dH = 0.440931, is_accept = 1
n = 358, r = 1, dH = -0.0262479, is_accept = 1
n = 359, r = 1, dH = -0.0168467, is_accept = 1
n = 360, r = 0.826796, dH = 0.190197, is_accept = 1
n = 361, r = 0.897515, dH = 0.108125, is_accept = 1
n = 362, r = 0.907803, dH = 0.0967275, is_accept = 1
n = 363, r = 0.811968, dH = 0.208294, is_accept = 1
n = 364, r = 1, dH = -0.179386, is_accept = 1
n = 365, r = 0.489014, dH = 0.715364, is_accept = 1
n = 366, r = 1, dH = -0.321132, is_accept = 1
n = 367, r = 0.178483, dH = 1.72326, is_accept = 1
n = 368, r = 1, dH = -0.230973, is_accept = 1
n = 369, r = 0.783709, dH = 0.243717, is_accept = 0
n = 370, r = 0.0671315, dH = 2.7011, is_accept = 0
n = 371, r = 0.506717, dH = 0.679803, is_accept = 1
n = 372, r = 0.876012, dH = 0.132375, is_accept = 1
n = 373, r = 0.855753, dH = 0.155773, is_accept = 1
n = 374, r = 0.93713, dH = 0.0649329, is_accept = 1
n = 375, r = 1, dH = -0.108909, is_accept = 1
n = 376, r = 0.834095, dH = 0.181408, is_accept = 1
n = 377, r = 1, dH = -0.582859, is_accept = 1
n = 378, r = 0.976371, dH = 0.0239126, is_accept = 1
n = 379, r = 1, dH = -1.91195, is_accept = 1
n = 380, r = 0.352934, dH = 1.04148, is_accept = 1
n = 381, r = 0.60826, dH = 0.497153, is_accept = 1
n = 382, r = 1, dH = -0.163038, is_accept = 1
n = 383, r = 0.832438, dH = 0.183397, is_accept = 1
n = 384, r = 0.701733, dH = 0.354203, is_accept = 0
n = 385, r = 1, dH = -0.513834, is_accept = 1
