openmp threads = 1
eigen threads = 1
seed = 5105
exact = 1.197714742754041e+00
n = 398, r = 0.986681, dH = 0.0134088, is_accept = 1
n = 399, r = 3.04022e-15, dH = 33.4268, is_accept = 0
n = 400, r = 0.902013, dH = 0.103126, is_accept = 0
n = 401, r = 0.790192, dH = 0.235479, is_accept = 1
n = 402, r = 0.939812, dH = 0.0620751, is_accept = 1
n = 403, r = 0.705579, dH = 0.348737, is_accept = 1
n = 404, r = 1, dH = -0.0453133, is_accept = 1
n = 405, r = 0.917259, dH = 0.0863649, is_accept = 1
n = 406, r = 1, dH = -0.393591, is_accept = 1
n = 407, r = 1, dH = -0.0114193, is_accept = 1
n = 408, r = 0.766741, dH = 0.265606, is_accept = 1
n = 409, r = 0.998889, dH = 0.00111127, is_accept = 1
n = 410, r = 0.885105, dH = 0.122049, is_accept = 1
n = 411, r = 0.352946, dH = 1.04144, is_accept = 0
n = 412, r = 0.181575, dH = 1.70609, is_accept = 1
n = 413, r = 0.752742, dH = 0.284032, is_accept = 1
n = 414, r = 1, dH = -0.556131, is_accept = 1
n = 415, r = 1, dH = -0.0920621, is_accept = 1
n = 416, r = 1, dH = -0.710818, is_accept = 1
n = 417, r = 0.978579, dH = 0.0216534, is_accept = 1
n = 418, r = 0.0324553, dH = 3.42789, is_accept = 0
n = 419, r = 1, dH = -0.968091, is_accept = 1
n = 420, r = 0.879935, dH = 0.127907, is_accept = 1
n = 421, r = 0.247781, dH = 1.39521, is_accept = 0
n = 422, r = 1, dH = -0.254837, is_accept = 1
n = 423, r = 0.528617, dH = 0.637491, is_accept = 1
n = 424, r = 0.665981, dH = 0.406494, is_accept = 0
n = 425, r = 0.478143, dH = 0.737845, is_accept = 1
n = 426, r = 1, dH = -0.0115498, is_accept = 1
n = 427, r = 0.83769, dH = 0.177107, is_accept = 1
n = 428, r = 0.835878, dH = 0.179273, is_accept = 1
n = 429, r = 0.666008, dH = 0.406454, is_accept = 1
n = 430, r = 0.975294, dH = 0.0250163, is_accept = 1
n = 431, r = 6.85121e-07, dH = 14.1937, is_accept = 0
n = 432, r = 0.969488, dH = 0.0309869, is_accept = 1
