openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 256, r = 1, dH = -0.0930964, is_accept = 1
n = 257, r = 0.0353206, dH = 3.34329, is_accept = 0
n = 258, r = 1, dH = -0.181432, is_accept = 1
n = 259, r = 1, dH = -0.0556668, is_accept = 1
n = 260, r = 1, dH = -0.00977817, is_accept = 1
n = 261, r = 0.389602, dH = 0.94263, is_accept = 1
n = 262, r = 0.0663856, dH = 2.71228, is_accept = 0
n = 263, r = 0.722396, dH = 0.325182, is_accept = 1
n = 264, r = 1, dH = -0.0118791, is_accept = 1
n = 265, r = 1, dH = -0.123066, is_accept = 1
n = 266, r = 0.689079, dH = 0.372399, is_accept = 1
n = 267, r = 0.418106, dH = 0.872021, is_accept = 0
n = 268, r = 1, dH = -0.419559, is_accept = 1
n = 269, r = 0.91486, dH = 0.0889842, is_accept = 0
n = 270, r = 1, dH = -0.0167005, is_accept = 1
n = 271, r = 0.865442, dH = 0.144514, is_accept = 1
n = 272, r = 0.908809, dH = 0.0956204, is_accept = 1
n = 273, r = 0.979123, dH = 0.0210981, is_accept = 1
n = 274, r = 1, dH = -0.0744425, is_accept = 1
n = 275, r = 0.971969, dH = 0.0284312, is_accept = 1
n = 276, r = 0.8481, dH = 0.164757, is_accept = 1
n = 277, r = 1, dH = -0.858252, is_accept = 1
n = 278, r = 0.979617, dH = 0.0205938, is_accept = 1
n = 279, r = 0.000205948, dH = 8.48789, is_accept = 0
n = 280, r = 2.57304e-05, dH = 10.5678, is_accept = 0
n = 281, r = 1.10125e-19, dH = 43.6527, is_accept = 0
n = 282, r = 1, dH = -0.280423, is_accept = 1
n = 283, r = 0.676481, dH = 0.39085, is_accept = 0
n = 284, r = 1, dH = -0.590158, is_accept = 1
n = 285, r = 0.940559, dH = 0.0612806, is_accept = 1
n = 286, r = 0.908125, dH = 0.0963734, is_accept = 0
n = 287, r = 0.837781, dH = 0.176998, is_accept = 0
n = 288, r = 0.948256, dH = 0.0531306, is_accept = 1
n = 289, r = 1, dH = -0.114071, is_accept = 1
