openmp threads = 1
eigen threads = 1
seed = 5703
exact = 5.457221248129214e-01
n = 361, r = 0.767643, dH = 0.26443, is_accept = 1
n = 362, r = 0.825165, dH = 0.192171, is_accept = 1
n = 363, r = 1, dH = -0.631958, is_accept = 1
n = 364, r = 0.414129, dH = 0.881577, is_accept = 1
n = 365, r = 0.844104, dH = 0.169479, is_accept = 1
n = 366, r = 1, dH = -0.0887212, is_accept = 1
n = 367, r = 0.953389, dH = 0.0477322, is_accept = 1
n = 368, r = 0.24664, dH = 1.39983, is_accept = 0
n = 369, r = 1, dH = -0.0182079, is_accept = 1
n = 370, r = 0.367511, dH = 1.001, is_accept = 1
n = 371, r = 1, dH = -0.233805, is_accept = 1
n = 372, r = 0.917837, dH = 0.0857358, is_accept = 1
n = 373, r = 1, dH = -0.212891, is_accept = 1
n = 374, r = 1, dH = -0.128343, is_accept = 1
n = 375, r = 0.640623, dH = 0.445314, is_accept = 0
n = 376, r = 3.38566e-05, dH = 10.2934, is_accept = 0
n = 377, r = 0.616343, dH = 0.483952, is_accept = 0
n = 378, r = 0.852189, dH = 0.159947, is_accept = 1
n = 379, r = 0.84599, dH = 0.167248, is_accept = 0
n = 380, r = 0.9246, dH = 0.0783936, is_accept = 1
n = 381, r = 1, dH = -0.0346203, is_accept = 1
n = 382, r = 1, dH = -0.308739, is_accept = 1
n = 383, r = 0.651536, dH = 0.428422, is_accept = 0
n = 384, r = 0.0467636, dH = 3.06265, is_accept = 0
n = 385, r = 1, dH = -0.115397, is_accept = 1
n = 386, r = 1, dH = -0.235356, is_accept = 1
n = 387, r = 1, dH = -0.156006, is_accept = 1
n = 388, r = 0.000868801, dH = 7.0484, is_accept = 0
n = 389, r = 1, dH = -0.111644, is_accept = 1
n = 390, r = 0.825106, dH = 0.192243, is_accept = 1
n = 391, r = 0.63757, dH = 0.450091, is_accept = 0
n = 392, r = 1, dH = -0.436925, is_accept = 1
n = 393, r = 0.878104, dH = 0.129991, is_accept = 1
n = 394, r = 0.880938, dH = 0.126769, is_accept = 1
n = 395, r = 1, dH = -0.607737, is_accept = 1
n = 396, r = 0.943052, dH = 0.0586341, is_accept = 1
n = 397, r = 0.889107, dH = 0.117538, is_accept = 1
n = 398, r = 0.250281, dH = 1.38517, is_accept = 0
n = 399, r = 1, dH = -0.926152, is_accept = 1
n = 400, r = 1, dH = -0.312841, is_accept = 1
n = 401, r = 0.545608, dH = 0.605854, is_accept = 1
n = 402, r = 0.893415, dH = 0.112705, is_accept = 1
n = 403, r = 1, dH = -0.258115, is_accept = 1
n = 404, r = 1, dH = -0.0370186, is_accept = 1
n = 405, r = 0.951772, dH = 0.0494297, is_accept = 1
n = 406, r = 1, dH = -0.255093, is_accept = 1
n = 407, r = 1, dH = -0.267995, is_accept = 1
n = 408, r = 0.710207, dH = 0.342199, is_accept = 1
n = 409, r = 0.375586, dH = 0.979269, is_accept = 1
n = 410, r = 0.782653, dH = 0.245066, is_accept = 1
n = 411, r = 0.805484, dH = 0.216312, is_accept = 1
n = 412, r = 0.903524, dH = 0.101452, is_accept = 1
n = 413, r = 0.73742, dH = 0.304598, is_accept = 1
n = 414, r = 0.76357, dH = 0.26975, is_accept = 1
n = 415, r = 0.91252, dH = 0.0915458, is_accept = 1
n = 416, r = 0.229604, dH = 1.4714, is_accept = 0
n = 417, r = 1, dH = -1.66092, is_accept = 1
n = 418, r = 1, dH = -0.189006, is_accept = 1
n = 419, r = 0.433146, dH = 0.83668, is_accept = 1
n = 420, r = 4.25066e-08, dH = 16.9736, is_accept = 0
n = 421, r = 0.644432, dH = 0.439385, is_accept = 1
n = 422, r = 1, dH = -0.84505, is_accept = 1
n = 423, r = 1, dH = -0.341423, is_accept = 1
n = 424, r = 0.0895045, dH = 2.41347, is_accept = 0
n = 425, r = 0.613075, dH = 0.489268, is_accept = 1
n = 426, r = 0.90538, dH = 0.0994006, is_accept = 0
n = 427, r = 0.0876639, dH = 2.43425, is_accept = 0
n = 428, r = 1, dH = -0.162765, is_accept = 1
n = 429, r = 1, dH = -0.200977, is_accept = 1
n = 430, r = 0.844332, dH = 0.16921, is_accept = 1
n = 431, r = 0.980537, dH = 0.0196554, is_accept = 1
n = 432, r = 0.523703, dH = 0.646831, is_accept = 0
n = 433, r = 0.999519, dH = 0.000481308, is_accept = 1
n = 434, r = 0.347947, dH = 1.05571, is_accept = 0
n = 435, r = 1, dH = -0.170476, is_accept = 1
n = 436, r = 0.984368, dH = 0.015755, is_accept = 1
n = 437, r = 1, dH = -0.113472, is_accept = 1
n = 438, r = 1, dH = -1.43976, is_accept = 1
n = 439, r = 0.784982, dH = 0.242095, is_accept = 0
n = 440, r = 0.624897, dH = 0.470168, is_accept = 1
n = 441, r = 1, dH = -0.0854012, is_accept = 1
n = 442, r = 0.969, dH = 0.031491, is_accept = 1
n = 443, r = 1, dH = -0.413442, is_accept = 1
n = 444, r = 0.878328, dH = 0.129736, is_accept = 1
n = 445, r = 1, dH = -0.257137, is_accept = 1
n = 446, r = 0.751357, dH = 0.285874, is_accept = 1
n = 447, r = 3.85424e-07, dH = 14.7689, is_accept = 0
n = 448, r = 1, dH = -0.655805, is_accept = 1
n = 449, r = 1, dH = -0.333297, is_accept = 1
n = 450, r = 0.586103, dH = 0.534259, is_accept = 1
n = 451, r = 0.606612, dH = 0.499866, is_accept = 1
n = 452, r = 1, dH = -0.102267, is_accept = 1
n = 453, r = 0.740359, dH = 0.30062, is_accept = 1
n = 454, r = 1, dH = -0.052402, is_accept = 1
n = 455, r = 0.893316, dH = 0.112815, is_accept = 1
n = 456, r = 0.868472, dH = 0.14102, is_accept = 0
n = 457, r = 0.192734, dH = 1.64644, is_accept = 0
n = 458, r = 0.818917, dH = 0.199772, is_accept = 1
n = 459, r = 1, dH = -0.331181, is_accept = 1
n = 460, r = 1, dH = -0.290926, is_accept = 1
n = 461, r = 1, dH = -0.0244487, is_accept = 1
n = 462, r = 0.423976, dH = 0.858079, is_accept = 1
n = 463, r = 0.761601, dH = 0.272332, is_accept = 0
n = 464, r = 0.724439, dH = 0.322358, is_accept = 0
n = 465, r = 0.525781, dH = 0.642871, is_accept = 1
n = 466, r = 0.84578, dH = 0.167496, is_accept = 1
n = 467, r = 0.568499, dH = 0.564755, is_accept = 1
n = 468, r = 0.825147, dH = 0.192194, is_accept = 1
n = 469, r = 1, dH = -0.092177, is_accept = 1
n = 470, r = 0.626249, dH = 0.468008, is_accept = 1
