openmp threads = 1
eigen threads = 1
seed = 11239
exact = 1.000843767765202e+00
n = 427, r = 0.982661, dH = 0.0174908, is_accept = 1
n = 428, r = 0.737667, dH = 0.304262, is_accept = 0
n = 429, r = 0.863885, dH = 0.146315, is_accept = 1
n = 430, r = 0.906194, dH = 0.0985014, is_accept = 1
n = 431, r = 5.29958e-05, dH = 9.8453, is_accept = 0
n = 432, r = 1, dH = -0.17295, is_accept = 1
n = 433, r = 1, dH = -0.14657, is_accept = 1
n = 434, r = 1, dH = -0.170393, is_accept = 1
n = 435, r = 1, dH = -0.148253, is_accept = 1
n = 436, r = 0.920314, dH = 0.08304, is_accept = 1
n = 437, r = 0.958163, dH = 0.0427374, is_accept = 1
n = 438, r = 0.785789, dH = 0.241067, is_accept = 1
n = 439, r = 1, dH = -0.101923, is_accept = 1
n = 440, r = 1, dH = -0.181299, is_accept = 1
n = 441, r = 1, dH = -0.0769374, is_accept = 1
n = 442, r = 1, dH = -0.172518, is_accept = 1
n = 443, r = 1, dH = -0.111897, is_accept = 1
n = 444, r = 1.72674e-34, dH = 77.7417, is_accept = 0
n = 445, r = 0.806066, dH = 0.215589, is_accept = 1
n = 446, r = 0.951911, dH = 0.0492836, is_accept = 1
n = 447, r = 1, dH = -0.429335, is_accept = 1
n = 448, r = 0.704365, dH = 0.350458, is_accept = 1
n = 449, r = 0.10034, dH = 2.29919, is_accept = 0
n = 450, r = 0.950979, dH = 0.0502634, is_accept = 1
n = 451, r = 0.856505, dH = 0.154896, is_accept = 1
n = 452, r = 0.530005, dH = 0.634869, is_accept = 1
n = 453, r = 1, dH = -0.160283, is_accept = 1
n = 454, r = 1, dH = -0.213151, is_accept = 1
n = 455, r = 0.989069, dH = 0.010991, is_accept = 1
n = 456, r = 1, dH = -0.265846, is_accept = 1
n = 457, r = 0.845036, dH = 0.168377, is_accept = 1
n = 458, r = 0.765343, dH = 0.267431, is_accept = 1
n = 459, r = 0.967176, dH = 0.0333744, is_accept = 1
n = 460, r = 0.851174, dH = 0.161139, is_accept = 1
n = 461, r = 1, dH = -0.0198358, is_accept = 1
n = 462, r = 0.833321, dH = 0.182337, is_accept = 1
n = 463, r = 1, dH = -0.0820729, is_accept = 1
n = 464, r = 0.84888, dH = 0.163837, is_accept = 1
n = 465, r = 1, dH = -0.0547957, is_accept = 1
n = 466, r = 1, dH = -0.0717615, is_accept = 1
n = 467, r = 0.659184, dH = 0.416752, is_accept = 1
n = 468, r = 0.846344, dH = 0.166829, is_accept = 1
n = 469, r = 1, dH = -0.183859, is_accept = 1
n = 470, r = 1, dH = -0.12747, is_accept = 1
n = 471, r = 1, dH = -0.642971, is_accept = 1
n = 472, r = 0.841627, dH = 0.172419, is_accept = 1
